"","y","x","iso3","name"
"1",8,"A","MEX","Mexico"
"2",14,"A","GTM","Guatemala"
"3",15,"A","SLV","El Salvador"
"4",2,"B","CAN","Canada"
"5",5,"B","USA","United States"
"6",10,"B","CUB","Cuba"
"7",11,"B","CYM","Cayman Islands"
"8",12,"B","JAM","Jamaica"
"9",13,"B","BLZ","Belize"
"10",14,"B","HND","Honduras"
"11",15,"B","NIC","Nicaragua"
"12",16,"B","CRI","Costa Rica"
"13",17,"B","PAN","Panama"
"14",18,"B","COL","Colombia"
"15",19,"B","ECU","Ecuador"
"16",20,"B","PER","Peru"
"17",22,"B","CHL","Chile"
"18",8,"C","BHS","Bahamas"
"19",10,"C","HTI","Haiti"
"20",16,"C","ABW","ABW"
"21",17,"C","CUW","CUW"
"22",18,"C","VEN","Venezuela"
"23",20,"C","BOL","Bolivia"
"24",22,"C","ARG","Argentina"
"25",5,"D","BMU","BMU"
"26",9,"D","TCA","TCA"
"27",10,"D","DOM","Dominican Republic"
"28",15,"D","LCA","Saint Lucia"
"29",16,"D","GRD","Grenada"
"30",17,"D","TTO","Trinidad and Tobago"
"31",18,"D","GUY","Guyana"
"32",20,"D","PRY","Paraguay"
"33",21,"D","URY","Uruguay"
"34",1,"E","GRL","GRL"
"35",11,"E","PRI","PRI"
"36",12,"E","VIR","VIR"
"37",13,"E","KNA","Saint Kitts and Nevis"
"38",14,"E","ATG","Antigua and Barbuda"
"39",15,"E","DMA","Dominica"
"40",16,"E","BRB","Barbados"
"41",17,"E","VCT","Saint Vincent and the Grenadines"
"42",19,"E","SUR","Suriname"
"43",20,"E","BRA","Brazil"
"44",1,"F","ISL","Iceland"
"45",3,"F","IRL","Ireland"
"46",7,"F","PRT","Portugal"
"47",11,"F","CPV","Cape Verde"
"48",1,"G","FRO","FRO"
"49",3,"G","GBR","United Kingdom"
"50",4,"G","BEL","Belgium"
"51",5,"G","FRA","France"
"52",6,"G","AND","Andorra"
"53",7,"G","ESP","Spain"
"54",11,"G","MRT","Mauritania"
"55",12,"G","SEN","Senegal"
"56",13,"G","GMB","Gambia"
"57",14,"G","GNB","Guinea Bissau"
"58",15,"G","GIN","Guinea"
"59",16,"G","SLE","Sierra Leone"
"60",17,"G","LBR","Liberia"
"61",4,"H","LUX","Luxembourg"
"62",5,"H","CHE","Switzerland"
"63",6,"H","MCO","Monaco"
"64",11,"H","MAR","Morocco"
"65",16,"H","CIV","Cote d'Ivoire"
"66",1,"I","NOR","Norway"
"67",3,"I","NLD","Netherlands"
"68",5,"I","LIE","Liechtenstein"
"69",6,"I","SMR","San Marino"
"70",7,"I","ITA","Italy"
"71",8,"I","MLT","Malta"
"72",11,"I","DZA","Algeria"
"73",13,"I","MLI","Mali"
"74",14,"I","BFA","Burkina Faso"
"75",16,"I","GHA","Ghana"
"76",1,"J","SWE","Sweden"
"77",3,"J","DNK","Denmark"
"78",4,"J","DEU","Germany"
"79",5,"J","AUT","Austria"
"80",6,"J","SVN","Slovenia"
"81",11,"J","TUN","Tunisia"
"82",13,"J","NER","Niger"
"83",14,"J","BEN","Benin"
"84",15,"J","TGO","Togo"
"85",17,"J","STP","Sao Tome and Principe"
"86",1,"K","FIN","Finland"
"87",3,"K","POL","Poland"
"88",4,"K","CZE","Czech Republic"
"89",6,"K","HRV","Croatia"
"90",7,"K","BIH","Bosnia and Herzegovina"
"91",8,"K","MNE","Montenegro"
